,Record_ID,Year,Month,Day,Decimal_latitude,Decimal_longitude,Country,Location,Depth,Replicate,Coris_julis,Epinephelus_marginatus,Fistularia_commersonii,Serranus_cabrilla,Sparisoma_cretense,Siganus_luridus,Siganus_rivulatus,Sarpa_salpa,Serranus_scriba,Thalassoma_pavo,Pterois_miles,Stephanolopis_diaspros,Parupeneus_forskali,Pempheris_rhomboidea,Torquigener_flavimaculosus
0,1,2009,9,17.0,41.67093,9.38553,FR,Capu di Fora,1_3,1,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
1,9,2009,9,18.0,41.6894,9.392622,FR,La Vardiola,1_3,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0
2,17,2009,9,18.0,41.640919,9.372925,FR,Punta Arasu,1_3,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
3,25,2009,9,,35.86413,12.882499,IT,Faraglioni di Linosa,1_3,1,0.0,1.0,0.0,0.0,15.0,0.0,0.0,11.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0
4,29,2009,9,,35.87511,12.864366,IT,Mannarazza,1_3,2,0.0,1.0,0.0,0.0,15.0,0.0,0.0,13.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0
5,32,2009,9,,35.862072,12.8529,IT,Pozzolana,1_3,1,0.0,1.0,0.0,0.0,11.0,0.0,0.0,12.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0
6,37,2009,9,,38.2699,15.2254,IT,SW Capo Milazzo,1_3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0
7,41,2009,9,,38.2679,15.2253,IT,W Capo Milazzo,1_3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0
8,45,2009,10,,42.233,3.2216,ES,Coralli lor,1_3,1,1.0,0.0,0.0,5.0,0.0,0.0,0.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,49,2009,10,,42.2392,3.2663,ES,Mont Joy,1_3,1,10.0,0.0,0.0,6.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,53,2010,8,,35.86413,12.882499,IT,Faraglioni di Linosa,1_3,1,1.0,0.0,0.0,1.0,6.0,0.0,0.0,25.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0
